Level FolderNum Image TilesX TilesY
20 875157 451557.png 195284.001 2678977.695
20 875157 451558.png 195283.867 2678943.016
20 875157 451559.png 195283.734 2678908.338
20 875157 451560.png 195283.6 2678873.659
20 875157 451561.png 195283.466 2678838.98
20 875157 451562.png 195283.332 2678804.302
20 875157 451563.png 195283.199 2678769.623
20 875157 451564.png 195283.065 2678734.944
20 875157 451565.png 195282.931 2678700.265
20 875157 451566.png 195282.798 2678665.585
20 875157 451567.png 195282.664 2678630.906
20 875157 451568.png 195282.53 2678596.227
20 875157 451569.png 195282.396 2678561.547
20 875157 451570.png 195282.263 2678526.868
20 875157 451571.png 195282.129 2678492.188
20 875157 451572.png 195281.995 2678457.508
20 875157 451573.png 195281.862 2678422.829
20 875157 451574.png 195281.728 2678388.149
20 875157 451575.png 195281.594 2678353.469
20 875157 451576.png 195281.46 2678318.789
20 875157 451577.png 195281.327 2678284.109
20 875157 451578.png 195281.193 2678249.429
20 875157 451579.png 195281.059 2678214.748
20 875157 451580.png 195280.926 2678180.068
20 875157 451581.png 195280.792 2678145.388
20 875157 451582.png 195280.658 2678110.707
20 875157 451583.png 195280.524 2678076.026
20 875157 451584.png 195280.391 2678041.346
20 875157 451585.png 195280.257 2678006.665
20 875157 451586.png 195280.123 2677971.984
20 875157 451587.png 195279.99 2677937.303
20 875157 451588.png 195279.856 2677902.622
20 875157 451589.png 195279.722 2677867.941
20 875158 451505.png 195325.826 2680780.728
20 875158 451506.png 195325.692 2680746.053
20 875158 451507.png 195325.558 2680711.379
20 875158 451508.png 195325.424 2680676.705
20 875158 451509.png 195325.291 2680642.03
20 875158 451510.png 195325.157 2680607.356
20 875158 451511.png 195325.023 2680572.681
20 875158 451512.png 195324.89 2680538.007
20 875158 451513.png 195324.756 2680503.332
20 875158 451514.png 195324.622 2680468.657
20 875158 451515.png 195324.489 2680433.982
20 875158 451516.png 195324.355 2680399.307
20 875158 451517.png 195324.221 2680364.632
20 875158 451518.png 195324.087 2680329.957
20 875158 451519.png 195323.954 2680295.282
20 875158 451520.png 195323.82 2680260.606
20 875158 451521.png 195323.686 2680225.931
20 875158 451522.png 195323.553 2680191.256
20 875158 451523.png 195323.419 2680156.58
20 875158 451524.png 195323.285 2680121.904
